BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK82;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;B;HumanB;C100 HumanB;DUP53;s3
BRK83;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;A;HumanA;C100 HumanA;DUP54;s1
BRK84;1;1;1;Xylan + Soybean;y;y;Fermented;XYL2 EP2299;Human;B;HumanB;XYL2 EP2299 HumanB;DUP55;s111
BRK85;1;1;1;Xylan + Soybean;y;n;Fermented;XYL2 EP200;Human;A;HumanA;XYL2 EP200 HumanA;DUP56;s103
BRK86;1;1;1;Xylan + Rapeseed;y;y;Fermented;XYL2 EP1199;Human;C;HumanC;XYL2 EP1199 HumanC;DUP57;s102
BRK87;1;1;1;Xylan;y;n;Unfermented;XYL2;Human;C;HumanC;XYL2 HumanC;DUP58;s59
BRK88;1;1;1;Xylan;y;n;Unfermented;XYL2;Human;A;HumanA;XYL2 HumanA;DUP30;s55
BRK89;1;1;1;Xylan;y;n;Unfermented;XYL1;Human;B;HumanB;XYL1 HumanB;DUP59;s52
BRK90;1;1;1;Xylan + Soybean;y;y;Fermented;XYL1 EP2299;Human;B;HumanB;XYL1 EP2299 HumanB;DUP47;s87
BRK91;1;1;1;Xylan + Soybean;y;n;Fermented;XYL1 EP200;Human;B;HumanB;XYL1 EP200 HumanB;DUP46;s82
BRK92;1;1;1;Xylan + Rapeseed;y;y;Fermented;XYLC EP1199;Human;A;HumanA;XYLC EP1199 HumanA;DUP40;s121
BRK93;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Human;B;HumanB;XYLC EP2299 HumanB;DUP48;s136
BRK94;1;1;1;;;n;Unfermented;PCRCON;PCRCON;PCRCON;PCRCONPCRCON;PCRCON PCRCONPCRCON;DUP60;sPCR C
BRK95;1;1;1;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;s4n
BRK96;1;1;1;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;s4p
BRK97;2;1;2;Rapeseed + Seaweed;n;y;Fermented;EP1199;Pig;A;PigA;EP1199 PigA;DUP61;s169
BRK98;2;1;2;Soybean + Seaweed;n;y;Fermented;EP2299;Pig;C;PigC;EP2299 PigC;DUP62;s185
BRK99;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;PigB;C200 PigB;DUP63;s153
BRK100;2;1;2;Rapeseed + Seaweed;n;y;Fermented;EP100;Pig;C;PigC;EP100 PigC;DUP64;s168
